t0_path,t1_path,label,category,original_idx,rotation,sample_id
train/t0/mining_2358_t0_rot0.npy,train/t1/mining_2358_t1_rot0.npy,0,mining_emergence,0,rot0,mining_2358
train/t0/mining_1096_t0_rot0.npy,train/t1/mining_1096_t1_rot0.npy,0,mining_emergence,1,rot0,mining_1096
train/t0/mining_1207_t0_rot0.npy,train/t1/mining_1207_t1_rot0.npy,0,mining_emergence,2,rot0,mining_1207
train/t0/mining_58_t0_rot0.npy,train/t1/mining_58_t1_rot0.npy,0,mining_emergence,3,rot0,mining_58
train/t0/human_30_t0_rot0.npy,train/t1/human_30_t1_rot0.npy,1,human_activity,4,rot0,human_30
train/t0/human_30_t0_rot90.npy,train/t1/human_30_t1_rot90.npy,1,human_activity,4,rot90,human_30
train/t0/human_30_t0_rot180.npy,train/t1/human_30_t1_rot180.npy,1,human_activity,4,rot180,human_30
train/t0/human_30_t0_rot270.npy,train/t1/human_30_t1_rot270.npy,1,human_activity,4,rot270,human_30
train/t0/human_30_t0_rot90.npy,train/t1/human_30_t1_rot90.npy,1,human_activity,4,rot90,human_30
train/t0/natural_190_t0_rot0.npy,train/t1/natural_190_t1_rot0.npy,2,natural_change,5,rot0,natural_190
train/t0/natural_190_t0_rot90.npy,train/t1/natural_190_t1_rot90.npy,2,natural_change,5,rot90,natural_190
train/t0/natural_190_t0_rot180.npy,train/t1/natural_190_t1_rot180.npy,2,natural_change,5,rot180,natural_190
train/t0/natural_190_t0_rot270.npy,train/t1/natural_190_t1_rot270.npy,2,natural_change,5,rot270,natural_190
train/t0/mining_892_t0_rot0.npy,train/t1/mining_892_t1_rot0.npy,0,mining_emergence,6,rot0,mining_892
train/t0/mining_898_t0_rot0.npy,train/t1/mining_898_t1_rot0.npy,0,mining_emergence,7,rot0,mining_898
train/t0/natural_58_t0_rot0.npy,train/t1/natural_58_t1_rot0.npy,2,natural_change,8,rot0,natural_58
train/t0/natural_58_t0_rot90.npy,train/t1/natural_58_t1_rot90.npy,2,natural_change,8,rot90,natural_58
train/t0/natural_58_t0_rot180.npy,train/t1/natural_58_t1_rot180.npy,2,natural_change,8,rot180,natural_58
train/t0/natural_58_t0_rot270.npy,train/t1/natural_58_t1_rot270.npy,2,natural_change,8,rot270,natural_58
train/t0/mining_2339_t0_rot0.npy,train/t1/mining_2339_t1_rot0.npy,0,mining_emergence,9,rot0,mining_2339
train/t0/natural_252_t0_rot0.npy,train/t1/natural_252_t1_rot0.npy,2,natural_change,10,rot0,natural_252
train/t0/natural_252_t0_rot90.npy,train/t1/natural_252_t1_rot90.npy,2,natural_change,10,rot90,natural_252
train/t0/natural_252_t0_rot180.npy,train/t1/natural_252_t1_rot180.npy,2,natural_change,10,rot180,natural_252
train/t0/natural_252_t0_rot270.npy,train/t1/natural_252_t1_rot270.npy,2,natural_change,10,rot270,natural_252
train/t0/mining_154_t0_rot0.npy,train/t1/mining_154_t1_rot0.npy,0,mining_emergence,11,rot0,mining_154
train/t0/natural_34_t0_rot0.npy,train/t1/natural_34_t1_rot0.npy,2,natural_change,12,rot0,natural_34
train/t0/natural_34_t0_rot90.npy,train/t1/natural_34_t1_rot90.npy,2,natural_change,12,rot90,natural_34
train/t0/natural_34_t0_rot180.npy,train/t1/natural_34_t1_rot180.npy,2,natural_change,12,rot180,natural_34
train/t0/natural_34_t0_rot270.npy,train/t1/natural_34_t1_rot270.npy,2,natural_change,12,rot270,natural_34
train/t0/mining_232_t0_rot0.npy,train/t1/mining_232_t1_rot0.npy,0,mining_emergence,13,rot0,mining_232
